Date,Closing Price,Return
106/09/21,221.00,-0.00226
106/09/22,218.50,-0.01131
106/09/25,217.00,-0.00686
106/09/26,214.00,-0.01382
106/09/27,215.00,0.00467
106/09/28,214.00,-0.00465
106/09/29,216.50,0.01168
106/09/30,216.50,0.0
106/10/02,220.50,0.01848
106/10/03,222.50,0.00907
106/10/05,224.50,0.00899
106/10/06,224.50,0.0
106/10/11,233.00,0.03786
106/10/12,237.50,0.01931
106/10/13,237.50,0.0
106/10/16,238.00,0.00211
106/10/17,235.50,-0.0105
106/10/18,237.50,0.00849
106/10/19,239.00,0.00632
106/10/20,237.50,-0.00628
106/10/23,239.00,0.00632
106/10/24,238.00,-0.00418
106/10/25,238.00,0.0
106/10/26,236.00,-0.0084
106/10/27,239.00,0.01271
106/10/30,243.00,0.01674
106/10/31,243.00,0.0
106/11/01,242.50,-0.00206
106/11/02,241.00,-0.00619
106/11/03,239.00,-0.0083
106/11/06,239.50,0.00209
106/11/07,244.00,0.01879
106/11/08,242.50,-0.00615
106/11/09,241.00,-0.00619
106/11/10,240.50,-0.00207
106/11/13,239.50,-0.00416
106/11/14,240.00,0.00209
106/11/15,237.50,-0.01042
106/11/16,238.00,0.00211
106/11/17,241.50,0.01471
106/11/20,238.50,-0.01242
106/11/21,243.00,0.01887
106/11/22,242.00,-0.00412
106/11/23,242.50,0.00207
106/11/24,244.00,0.00619
106/11/27,237.00,-0.02869
106/11/28,234.00,-0.01266
106/11/29,234.50,0.00214
106/11/30,226.00,-0.03625
106/12/01,231.00,0.02212
106/12/04,234.00,0.01299
106/12/05,229.50,-0.01923
106/12/06,227.00,-0.01089
106/12/07,226.50,-0.0022
106/12/08,227.00,0.00221
106/12/11,227.50,0.0022
106/12/12,227.50,0.0
106/12/13,227.00,-0.0022
106/12/14,230.50,0.01542
106/12/15,230.00,-0.00217
106/12/18,227.00,-0.01304
106/12/19,225.00,-0.00881
106/12/20,224.50,-0.00222
106/12/21,225.00,0.00223
106/12/22,227.50,0.01111
106/12/25,228.50,0.0044
106/12/26,226.00,-0.01094
106/12/27,225.00,-0.00442
106/12/28,226.00,0.00444
106/12/29,229.50,0.01549
107/01/02,232.50,0.01307
107/01/03,237.00,0.01935
107/01/04,239.50,0.01055
107/01/05,240.00,0.00209
107/01/08,242.00,0.00833
107/01/09,242.00,0.0
107/01/10,236.50,-0.02273
107/01/11,235.00,-0.00634
107/01/12,237.00,0.00851
107/01/15,240.00,0.01266
107/01/16,240.50,0.00208
107/01/17,242.00,0.00624
107/01/18,248.50,0.02686
107/01/19,255.50,0.02817
107/01/22,261.50,0.02348
107/01/23,266.00,0.01721
107/01/24,258.00,-0.03008
107/01/25,258.00,0.0
107/01/26,255.00,-0.01163
107/01/29,258.50,0.01373
107/01/30,253.00,-0.02128
107/01/31,255.00,0.00791
