Date,Price to earning ratio,Price-book ratio
112年08月21日,14.42,4.37
112年08月22日,14.53,4.40
112年08月23日,14.82,4.49
112年08月24日,15.15,4.59
112年08月25日,14.66,4.44
112年08月28日,14.74,4.46
112年08月29日,14.82,4.49
112年08月30日,14.90,4.51
112年08月31日,14.74,4.46
112年09月01日,14.72,4.46
112年09月04日,14.96,4.53
112年09月05日,14.82,4.49
112年09月06日,14.77,4.47
112年09月07日,14.55,4.41
112年09月08日,14.47,4.38
112年09月11日,14.39,4.36
112年09月12日,14.61,4.42
112年09月13日,14.53,4.40
112年09月14日,14.77,4.47
112年09月15日,14.98,4.54
112年09月18日,14.50,4.39
112年09月19日,14.45,4.38
112年09月20日,14.37,4.35
112年09月21日,14.15,4.29
112年09月22日,14.02,4.24
112年09月25日,14.10,4.27
112年09月26日,13.94,4.22
112年09月27日,14.02,4.24
112年09月28日,14.04,4.25
112年10月02日,14.31,4.33
112年10月03日,14.21,4.30
112年10月04日,13.96,4.23
112年10月05日,14.18,4.29
112年10月06日,14.29,4.33
112年10月11日,14.61,4.42
112年10月12日,14.77,4.47
112年10月13日,14.85,4.50
112年10月16日,14.63,4.43
112年10月17日,14.80,4.48
112年10月18日,14.50,4.39
112年10月19日,14.66,4.44
112年10月20日,14.93,4.52
112年10月23日,14.61,4.42
112年10月24日,14.61,4.42
112年10月25日,14.61,4.42
112年10月26日,14.26,4.32
112年10月27日,14.31,4.33
112年10月30日,14.29,4.33
112年10月31日,14.21,4.30
112年11月01日,14.18,4.29
112年11月02日,14.69,4.45
112年11月03日,14.74,4.46
112年11月06日,14.77,4.47
112年11月07日,14.90,4.51
112年11月08日,14.93,4.52
112年11月09日,14.96,4.53
112年11月10日,14.96,4.53
112年11月13日,15.33,4.64
112年11月14日,16.56,4.43
112年11月15日,16.82,4.50
112年11月16日,16.88,4.52
112年11月17日,16.79,4.49
112年11月20日,16.71,4.47
112年11月21日,16.94,4.53
112年11月22日,16.71,4.47
112年11月23日,16.73,4.48
112年11月24日,16.65,4.45
112年11月27日,16.44,4.40
112年11月28日,16.65,4.45
112年11月29日,16.62,4.45
112年11月30日,16.71,4.47
112年12月01日,16.76,4.48
112年12月04日,16.62,4.45
112年12月05日,16.50,4.41
112年12月06日,16.50,4.41
112年12月07日,16.39,4.38
112年12月08日,16.50,4.41
112年12月11日,16.62,4.45
112年12月12日,16.73,4.48
112年12月13日,16.71,4.47
112年12月14日,16.85,4.51
112年12月15日,16.94,4.53
112年12月18日,16.94,4.53
112年12月19日,16.94,4.53
112年12月20日,16.94,4.53
112年12月21日,16.71,4.47
112年12月22日,16.85,4.51
112年12月25日,16.82,4.50
112年12月26日,16.97,4.54
112年12月27日,17.14,4.58
112年12月28日,17.17,4.59
112年12月29日,17.17,4.59
