Date,Price to earning ratio,Price-book ratio
108年03月28日,17.87,3.74
108年03月29日,18.13,3.80
108年04月01日,18.13,3.80
108年04月02日,18.17,3.80
108年04月03日,18.21,3.81
108年04月08日,18.69,3.91
108年04月09日,18.76,3.93
108年04月10日,18.76,3.93
108年04月11日,18.61,3.90
108年04月12日,18.61,3.90
108年04月15日,18.87,3.95
108年04月16日,18.98,3.97
108年04月17日,19.31,4.04
108年04月18日,19.53,4.09
108年04月19日,19.53,4.09
108年04月22日,19.65,4.11
108年04月23日,19.79,4.14
108年04月24日,19.87,4.16
108年04月25日,19.76,4.14
108年04月26日,19.20,4.02
108年04月29日,19.17,4.01
108年04月30日,19.13,4.00
108年05月02日,19.13,4.00
108年05月03日,19.57,4.10
108年05月06日,19.13,4.00
108年05月07日,19.39,4.06
108年05月08日,19.20,4.02
108年05月09日,18.94,3.97
108年05月10日,18.91,3.96
108年05月13日,18.50,3.87
108年05月14日,18.35,3.84
108年05月15日,20.00,3.70
108年05月16日,19.84,3.68
108年05月17日,19.40,3.59
108年05月20日,19.12,3.54
108年05月21日,18.80,3.48
108年05月22日,19.12,3.54
108年05月23日,18.47,3.42
108年05月24日,18.71,3.47
108年05月27日,18.55,3.44
108年05月28日,18.51,3.43
108年05月29日,18.43,3.41
108年05月30日,18.55,3.44
108年05月31日,18.92,3.50
108年06月03日,19.12,3.54
108年06月04日,18.71,3.47
108年06月05日,18.88,3.50
108年06月06日,18.63,3.45
108年06月10日,19.28,3.57
108年06月11日,19.64,3.64
108年06月12日,19.76,3.66
108年06月13日,19.28,3.57
108年06月14日,18.96,3.51
108年06月17日,18.71,3.47
108年06月18日,18.92,3.50
108年06月19日,19.60,3.63
108年06月20日,19.68,3.65
108年06月21日,19.96,3.70
108年06月24日,19.36,3.59
108年06月25日,19.16,3.55
108年06月26日,18.84,3.49
108年06月27日,19.32,3.58
108年06月28日,19.20,3.56
108年07月01日,19.96,3.70
108年07月02日,20.00,3.70
108年07月03日,19.48,3.61
108年07月04日,19.60,3.63
108年07月05日,19.52,3.62
108年07月08日,19.48,3.61
108年07月09日,19.44,3.60
108年07月10日,19.84,3.68
108年07月11日,20.08,3.72
108年07月12日,20.12,3.73
108年07月15日,20.44,3.79
108年07月16日,20.56,3.81
108年07月17日,20.24,3.75
108年07月18日,20.40,3.78
108年07月19日,20.80,3.85
108年07月22日,21.20,3.93
108年07月23日,21.20,3.93
108年07月24日,21.29,3.94
108年07月25日,21.29,3.94
108年07月26日,20.96,3.88
108年07月29日,20.96,3.88
108年07月30日,20.88,3.87
108年07月31日,20.84,3.86
108年08月01日,20.60,3.82
108年08月02日,20.20,3.74
108年08月05日,19.80,3.67
108年08月06日,19.96,3.70
108年08月07日,19.92,3.69
108年08月08日,20.36,3.77
108年08月12日,20.16,3.73
108年08月13日,19.80,3.67
108年08月14日,20.40,4.16
108年08月15日,20.28,4.14
108年08月16日,20.44,4.17
108年08月19日,20.61,4.21
108年08月20日,20.81,4.25
108年08月21日,20.81,4.25
108年08月22日,20.77,4.24
108年08月23日,20.77,4.24
108年08月26日,20.32,4.15
108年08月27日,20.44,4.17
108年08月28日,20.61,4.21
108年08月29日,20.77,4.24
108年08月30日,21.18,4.32
108年09月02日,21.05,4.30
108年09月03日,20.77,4.24
108年09月04日,21.05,4.30
108年09月05日,21.50,4.39
108年09月06日,21.55,4.40
108年09月09日,21.67,4.42
108年09月10日,21.38,4.36
108年09月11日,21.50,4.39
108年09月12日,21.46,4.38
108年09月16日,21.71,4.43
108年09月17日,21.67,4.42
108年09月18日,21.83,4.46
108年09月19日,21.67,4.42
108年09月20日,21.59,4.41
108年09月23日,21.59,4.41
108年09月24日,21.67,4.42
108年09月25日,21.75,4.44
108年09月26日,21.91,4.47
108年09月27日,22.24,4.54
108年10月01日,22.89,4.67
108年10月02日,22.85,4.66
108年10月03日,22.61,4.61
108年10月04日,22.61,4.61
108年10月07日,22.73,4.64
108年10月08日,23.43,4.78
108年10月09日,23.06,4.71
108年10月14日,23.71,4.84
108年10月15日,24.00,4.90
108年10月16日,24.24,4.95
108年10月17日,24.00,4.90
108年10月18日,23.96,4.89
108年10月21日,23.71,4.84
108年10月22日,24.04,4.91
